Ticker	count	AT_Mean	NI_Mean	REVT_Mean
A	24	8455.5333	748.2000	5553.6000
AA	10	17045.4000	-215.0000	11743.8000
AAAF	1			
AAAP	4	290.7260	-18.3475	97.9023
AAC	2	234.8993	-0.1395	187.4027
AACC	24	364.5359	15.3949	224.3938
AACE	1			
AACI	1			
AADV	12			
AAII	1			
AAIR	1	143.8150	-11.0672	132.4728
AAL	32	34012.6429	321.5000	28020.3571
AALR	7			
AANB	32	373.8560	1.5796	24.5420
AAOI	11	208.9964	16.0831	164.7256
AAON	32	182.1756	29.5870	286.9025
AAP	23	4739.4430	344.5194	6526.2769
AAPL	32	153926.1333	25689.5333	117866.7333
AAT	27	1656.3755	18.0846	219.8131
AATI	10	139.0284	-4.0617	83.0466
AAWWV	1			
AB	32	1582.4876	186.1984	212.9865
ABAT	1	79.0170	12.5529	37.0721
ABAX	28	181.6112	18.1398	142.4688
ABB	25	36648.3571	2266.0714	32691.3571
ABBCD	1			
ABBK	28			
ABBV	12	39309.9839	4399.2493	20865.5853
ABBY	1	0.0000	-0.0320	0.0000
ABC	28	19574.0542	567.4901	95071.1888
ABCB	58	4028.4539	27.7471	212.0976
ABCL	4			
ABCO	18	733.8031	15.8089	353.3620
ABCR	1			
ABCW	52	3699.7734	-12.8825	243.4961
ABD	1			
ABDC	1	294.8488	6.7473	32.9493
ABDR	1			
ABE	1			
ABEO	32	31.5056	-13.4114	0.9796
ABEV	26	21467.1949	2856.8422	11570.1431
ABF	13			
ABG	22	1898.3926	55.9041	5276.2492
ABGX	11	731.4980	-197.2165	18.0555
ABIG	1			
ABIO	15	29.4322	-12.0430	5.6465
ABIX	1	24.6031	2.1386	68.1546
ABIZ	1			
ABKD	1			
ABKR	10			
ABLA	1			
ABM	32	1895.6668	60.8395	4098.5077
ABMD	33	231.8995	11.1705	169.6225
ABP	2			
ABPI	1	21.6281	-35.2330	15.4910
ABR	38	2103.2886	20.2884	164.0102
ABRS	1			
ABRX	1			
ABS	1			
ABSC	6			
ABT	32	47857.2659	3502.5059	26806.1095
ABTC	9			
ABTE	1			
ABTI	1			
ABTX	18	2415.9623	18.2370	97.5030
ABVA	20	558.8770	-1.2761	32.0568
ABVT	17	657.7333	87.7000	341.5000
ABX	1			
ABY	1			
ACAD	20	164.4704	-82.5011	15.6824
ACAM	2			
ACAP	1			
ACAS	38	6843.3780	146.3628	683.7152
ACAT	27	294.5679	16.2629	636.4265
ACBA	1	474.4122	2.7780	30.9902
ACBI	18	2292.9058	8.2568	76.0663
ACC	40	3452.9359	41.7419	424.0754
ACCC	1			
ACCL	20	251.9396	-5.5381	103.1862
ACCS	1			
ACCX	1			
ACDO	10	998.1820	78.3130	1513.7970
ACEC	1			
ACET	4	370.0982	-5.8670	438.1605
ACFN	1	40.5307	-4.6166	18.6563
ACGL	47	18324.4469	612.7597	3621.1781
ACH	21	21534.3349	51.8306	16600.6521
ACHC	12	3081.8706	61.3803	1398.3664
ACHN	1	138.8344	-38.1462	7.3248
ACIA	7	331.1475	56.0313	312.2170
ACIU	8	144.6035	-17.0530	21.8245
ACIW	28	1048.3118	45.7000	617.8995
ACL	1	6921.3286	1571.5429	5533.5571
ACLA	9			
ACLB	4			
ACLM	1			
ACLR	1			
ACLS	24	422.7115	-3.3905	316.5717
ACLZ	1	5.0230	-2.5343	16.8617
ACM	17	7030.9661	134.6470	9602.8065
ACME	1	63.3429	-4.5693	20.1847
ACMM	1			
ACMP	10	4913.3881	214.3881	697.8244
ACMR	7	67.8910	-0.3180	36.5060
ACMT	1			
ACN	23	15187.2164	2309.0161	27263.2560
ACO	24	678.4716	42.3891	773.2342
ACOL	1			
ACOM	8	498.7140	25.9774	257.8930
ACOR	19	536.3510	-24.2541	233.6886
ACR	34			
ACRE	22	1137.5597	24.0083	76.1120
ACRS	9	109.0508	-30.1836	0.3366
ACRU	1			
ACRX	14	64.9163	-28.4432	8.2800
ACSA	1			
ACSC	8			
ACSF	1	252.5698	6.3328	18.0283
ACSY	1			
ACTA	1	389.9530	24.6725	85.1194
ACTG	27	259.2066	-18.3987	99.0164
ACTI	13	185.3567	-30.0171	47.7884
ACTL	1	0.0447	-0.8337	0.2967
ACTM	1			
ACTN	1			
ACTR	1			
ACTS	13	258.8028	15.4245	78.4328
ACTT	1	28.2933	-12.5067	52.7083
ACTU	1			
ACTV	1	478.5290	-30.8710	319.6918
