Ticker	Date	Year	Stock_Exchange_Code
A	31OCT1998	1998	NYSE
A	31OCT1999	1999	NYSE
A	31OCT2000	2000	NYSE
A	31OCT2001	2001	NYSE
A	31OCT2002	2002	NYSE
A	31OCT2003	2003	NYSE
A	31OCT2004	2004	NYSE
A	31OCT2005	2005	NYSE
A	31OCT2006	2006	NYSE
A	31OCT2007	2007	NYSE
A	31OCT2008	2008	NYSE
A	31OCT2009	2009	NYSE
A	31OCT2010	2010	NYSE
A	31OCT2011	2011	NYSE
A	31OCT2012	2012	NYSE
A	31OCT2013	2013	NYSE
A	31OCT2014	2014	NYSE
A	31OCT2015	2015	NYSE
A	31OCT2016	2016	NYSE
A	31OCT2017	2017	NYSE
A	31OCT2018	2018	NYSE
A	31OCT2019	2019	NYSE
A	31OCT2020	2020	NYSE
A	31OCT2021	2021	NYSE
AA	31DEC2012	2012	NYSE
AA	31DEC2013	2013	NYSE
AA	31DEC2014	2014	NYSE
AA	31DEC2015	2015	NYSE
AA	31DEC2016	2016	NYSE
AA	31DEC2017	2017	NYSE
AA	31DEC2018	2018	NYSE
AA	31DEC2019	2019	NYSE
AA	31DEC2020	2020	NYSE
AA	31DEC2021	2021	NYSE
AAAF			
AAAP	31DEC2013	2013	NASDAQ
AAAP	31DEC2014	2014	NASDAQ
AAAP	31DEC2015	2015	NASDAQ
AAAP	31DEC2016	2016	NASDAQ
AAC	31DEC2020	2020	NYSE
AAC	31DEC2021	2021	NYSE
AACC	31DEC2001	2001	NASDAQ
AACC	31DEC2001	2001	NASDAQ
AACC	31DEC2002	2002	NASDAQ
AACC	31DEC2002	2002	NASDAQ
AACC	31DEC2003	2003	NASDAQ
AACC	31DEC2003	2003	NASDAQ
AACC	31DEC2004	2004	NASDAQ
AACC	31DEC2004	2004	NASDAQ
AACC	31DEC2005	2005	NASDAQ
AACC	31DEC2005	2005	NASDAQ
AACC	31DEC2006	2006	NASDAQ
AACC	31DEC2006	2006	NASDAQ
AACC	31DEC2007	2007	NASDAQ
AACC	31DEC2007	2007	NASDAQ
AACC	31DEC2008	2008	NASDAQ
AACC	31DEC2008	2008	NASDAQ
AACC	31DEC2009	2009	NASDAQ
AACC	31DEC2009	2009	NASDAQ
AACC	31DEC2010	2010	NASDAQ
AACC	31DEC2010	2010	NASDAQ
AACC	31DEC2011	2011	NASDAQ
AACC	31DEC2011	2011	NASDAQ
AACC	31DEC2012	2012	NASDAQ
AACC	31DEC2012	2012	NASDAQ
AACE			
AACI			
AADV	30SEP1992	1992	NASDAQ
AADV	30SEP1992	1992	NASDAQ
AADV	30SEP1993	1993	NASDAQ
AADV	30SEP1993	1993	NASDAQ
AADV	30SEP1994	1994	NASDAQ
AADV	30SEP1994	1994	NASDAQ
AADV	30SEP1995	1995	NASDAQ
AADV	30SEP1995	1995	NASDAQ
AADV	30SEP1996	1996	NASDAQ
AADV	30SEP1996	1996	NASDAQ
AADV	30SEP1997	1997	NASDAQ
AADV	30SEP1997	1997	NASDAQ
AAII			
AAIR			
AAL	31DEC1990	1990	NASDAQ
AAL	31DEC1991	1991	NASDAQ
AAL	31DEC1992	1992	NASDAQ
AAL	31DEC1993	1993	NASDAQ
AAL	31DEC1994	1994	NASDAQ
AAL	31DEC1995	1995	NASDAQ
AAL	31DEC1996	1996	NASDAQ
AAL	31DEC1997	1997	NASDAQ
AAL	31DEC1998	1998	NASDAQ
AAL	31DEC1999	1999	NASDAQ
AAL	31DEC2000	2000	NASDAQ
AAL	31DEC2001	2001	NASDAQ
AAL	31DEC2002	2002	NASDAQ
AAL	31DEC2003	2003	NASDAQ
AAL	31DEC2004	2004	NASDAQ
AAL	31DEC2005	2005	NASDAQ
AAL	31DEC2006	2006	NASDAQ
AAL	31DEC2007	2007	NASDAQ
AAL	31DEC2008	2008	NASDAQ
AAL	31DEC2009	2009	NASDAQ
AAL	31DEC2010	2010	NASDAQ
AAL	31DEC2011	2011	NASDAQ
AAL	31DEC2012	2012	NASDAQ
AAL	31DEC2013	2013	NASDAQ
AAL	31DEC2014	2014	NASDAQ
AAL	31DEC2015	2015	NASDAQ
AAL	31DEC2016	2016	NASDAQ
AAL	31DEC2017	2017	NASDAQ
AAL	31DEC2018	2018	NASDAQ
AAL	31DEC2019	2019	NASDAQ
AAL	31DEC2020	2020	NASDAQ
AAL	31DEC2021	2021	NASDAQ
AALR	30SEP1990	1990	NASDAQ
AALR	30SEP1991	1991	NASDAQ
AALR	30SEP1992	1992	NASDAQ
AALR	30SEP1993	1993	NASDAQ
AALR	30SEP1994	1994	NASDAQ
AALR	30SEP1995	1995	NASDAQ
AALR	30SEP1996	1996	NASDAQ
AANB	31DEC1993	1993	NASDAQ
AANB	31DEC1993	1993	NASDAQ
AANB	31DEC1994	1994	NASDAQ
AANB	31DEC1994	1994	NASDAQ
AANB	31DEC1995	1995	NASDAQ
AANB	31DEC1995	1995	NASDAQ
AANB	31DEC1996	1996	NASDAQ
AANB	31DEC1996	1996	NASDAQ
AANB	31DEC1997	1997	NASDAQ
AANB	31DEC1997	1997	NASDAQ
AANB	31DEC1998	1998	NASDAQ
AANB	31DEC1998	1998	NASDAQ
AANB	31DEC1999	1999	NASDAQ
AANB	31DEC1999	1999	NASDAQ
AANB	31DEC2000	2000	NASDAQ
AANB	31DEC2000	2000	NASDAQ
AANB	31DEC2001	2001	NASDAQ
AANB	31DEC2001	2001	NASDAQ
AANB	31DEC2002	2002	NASDAQ
AANB	31DEC2002	2002	NASDAQ
AANB	31DEC2003	2003	NASDAQ
AANB	31DEC2003	2003	NASDAQ
AANB	31DEC2004	2004	NASDAQ
AANB	31DEC2004	2004	NASDAQ
AANB	31DEC2005	2005	NASDAQ
AANB	31DEC2005	2005	NASDAQ
AANB	31DEC2006	2006	NASDAQ
AANB	31DEC2006	2006	NASDAQ
AANB	31DEC2007	2007	NASDAQ
AANB	31DEC2007	2007	NASDAQ
AANB	31DEC2008	2008	NASDAQ
AANB	31DEC2008	2008	NASDAQ
AAOI	31DEC2011	2011	NASDAQ
AAOI	31DEC2012	2012	NASDAQ
AAOI	31DEC2013	2013	NASDAQ
AAOI	31DEC2014	2014	NASDAQ
AAOI	31DEC2015	2015	NASDAQ
AAOI	31DEC2016	2016	NASDAQ
AAOI	31DEC2017	2017	NASDAQ
AAOI	31DEC2018	2018	NASDAQ
AAOI	31DEC2019	2019	NASDAQ
AAOI	31DEC2020	2020	NASDAQ
AAOI	31DEC2021	2021	NASDAQ
AAON	31DEC1990	1990	NASDAQ
AAON	31DEC1991	1991	NASDAQ
AAON	31DEC1992	1992	NASDAQ
AAON	31DEC1993	1993	NASDAQ
AAON	31DEC1994	1994	NASDAQ
AAON	31DEC1995	1995	NASDAQ
AAON	31DEC1996	1996	NASDAQ
AAON	31DEC1997	1997	NASDAQ
AAON	31DEC1998	1998	NASDAQ
AAON	31DEC1999	1999	NASDAQ
AAON	31DEC2000	2000	NASDAQ
AAON	31DEC2001	2001	NASDAQ
AAON	31DEC2002	2002	NASDAQ
AAON	31DEC2003	2003	NASDAQ
AAON	31DEC2004	2004	NASDAQ
AAON	31DEC2005	2005	NASDAQ
AAON	31DEC2006	2006	NASDAQ
AAON	31DEC2007	2007	NASDAQ
AAON	31DEC2008	2008	NASDAQ
AAON	31DEC2009	2009	NASDAQ
AAON	31DEC2010	2010	NASDAQ
AAON	31DEC2011	2011	NASDAQ
AAON	31DEC2012	2012	NASDAQ
AAON	31DEC2013	2013	NASDAQ
AAON	31DEC2014	2014	NASDAQ
AAON	31DEC2015	2015	NASDAQ
AAON	31DEC2016	2016	NASDAQ
AAON	31DEC2017	2017	NASDAQ
AAON	31DEC2018	2018	NASDAQ
AAON	31DEC2019	2019	NASDAQ
AAON	31DEC2020	2020	NASDAQ
AAON	31DEC2021	2021	NASDAQ
AAP	31DEC1999	1999	NYSE
AAP	31DEC2000	2000	NYSE
AAP	31DEC2001	2001	NYSE
AAP	31DEC2002	2002	NYSE
AAP	31DEC2003	2003	NYSE
AAP	31DEC2004	2004	NYSE
AAP	31DEC2005	2005	NYSE
AAP	31DEC2006	2006	NYSE
AAP	31DEC2007	2007	NYSE
AAP	31DEC2008	2008	NYSE
AAP	31DEC2009	2009	NYSE
AAP	31DEC2010	2010	NYSE
AAP	31DEC2011	2011	NYSE
AAP	31DEC2012	2012	NYSE
AAP	31DEC2013	2013	NYSE
AAP	31DEC2014	2014	NYSE
AAP	31DEC2015	2015	NYSE
AAP	31DEC2016	2016	NYSE
AAP	31DEC2017	2017	NYSE
AAP	31DEC2018	2018	NYSE
AAP	31DEC2019	2019	NYSE
AAP	31DEC2020	2020	NYSE
AAP	31DEC2021	2021	NYSE
AAPL	30SEP1990	1990	NASDAQ
AAPL	30SEP1991	1991	NASDAQ
AAPL	30SEP1992	1992	NASDAQ
AAPL	30SEP1993	1993	NASDAQ
AAPL	30SEP1994	1994	NASDAQ
AAPL	30SEP1995	1995	NASDAQ
AAPL	30SEP1996	1996	NASDAQ
AAPL	30SEP1997	1997	NASDAQ
AAPL	30SEP1998	1998	NASDAQ
AAPL	30SEP1999	1999	NASDAQ
AAPL	30SEP2000	2000	NASDAQ
AAPL	30SEP2001	2001	NASDAQ
AAPL	30SEP2002	2002	NASDAQ
AAPL	30SEP2003	2003	NASDAQ
AAPL	30SEP2004	2004	NASDAQ
AAPL	30SEP2005	2005	NASDAQ
AAPL	30SEP2006	2006	NASDAQ
AAPL	30SEP2007	2007	NASDAQ
AAPL	30SEP2008	2008	NASDAQ
AAPL	30SEP2009	2009	NASDAQ
AAPL	30SEP2010	2010	NASDAQ
AAPL	30SEP2011	2011	NASDAQ
AAPL	30SEP2012	2012	NASDAQ
AAPL	30SEP2013	2013	NASDAQ
AAPL	30SEP2014	2014	NASDAQ
AAPL	30SEP2015	2015	NASDAQ
AAPL	30SEP2016	2016	NASDAQ
AAPL	30SEP2017	2017	NASDAQ
AAPL	30SEP2018	2018	NASDAQ
AAPL	30SEP2019	2019	NASDAQ
AAPL	30SEP2020	2020	NASDAQ
AAPL	30SEP2021	2021	NASDAQ
AAT	31DEC2008	2008	NYSE
AAT	31DEC2009	2009	NYSE
AAT	31DEC2009	2009	NYSE
AAT	31DEC2010	2010	NYSE
AAT	31DEC2010	2010	NYSE
AAT	31DEC2011	2011	NYSE
AAT	31DEC2011	2011	NYSE
AAT	31DEC2012	2012	NYSE
AAT	31DEC2012	2012	NYSE
AAT	31DEC2013	2013	NYSE
AAT	31DEC2013	2013	NYSE
AAT	31DEC2014	2014	NYSE
AAT	31DEC2014	2014	NYSE
AAT	31DEC2015	2015	NYSE
AAT	31DEC2015	2015	NYSE
AAT	31DEC2016	2016	NYSE
AAT	31DEC2016	2016	NYSE
AAT	31DEC2017	2017	NYSE
AAT	31DEC2017	2017	NYSE
AAT	31DEC2018	2018	NYSE
AAT	31DEC2018	2018	NYSE
AAT	31DEC2019	2019	NYSE
AAT	31DEC2019	2019	NYSE
AAT	31DEC2020	2020	NYSE
AAT	31DEC2020	2020	NYSE
AAT	31DEC2021	2021	NYSE
AAT	31DEC2021	2021	NYSE
AATI	31DEC2001	2001	NASDAQ
AATI	31DEC2002	2002	NASDAQ
AATI	31DEC2003	2003	NASDAQ
AATI	31DEC2004	2004	NASDAQ
AATI	31DEC2005	2005	NASDAQ
AATI	31DEC2006	2006	NASDAQ
AATI	31DEC2007	2007	NASDAQ
AATI	31DEC2008	2008	NASDAQ
AATI	31DEC2009	2009	NASDAQ
AATI	31DEC2010	2010	NASDAQ
AAWWV			
AB	31DEC1990	1990	NYSE
AB	31DEC1991	1991	NYSE
AB	31DEC1992	1992	NYSE
AB	31DEC1993	1993	NYSE
AB	31DEC1994	1994	NYSE
AB	31DEC1995	1995	NYSE
AB	31DEC1996	1996	NYSE
AB	31DEC1997	1997	NYSE
AB	31DEC1998	1998	NYSE
AB	31DEC1999	1999	NYSE
AB	31DEC2000	2000	NYSE
AB	31DEC2001	2001	NYSE
AB	31DEC2002	2002	NYSE
AB	31DEC2003	2003	NYSE
AB	31DEC2004	2004	NYSE
AB	31DEC2005	2005	NYSE
AB	31DEC2006	2006	NYSE
AB	31DEC2007	2007	NYSE
AB	31DEC2008	2008	NYSE
AB	31DEC2009	2009	NYSE
AB	31DEC2010	2010	NYSE
AB	31DEC2011	2011	NYSE
AB	31DEC2012	2012	NYSE
AB	31DEC2013	2013	NYSE
AB	31DEC2014	2014	NYSE
AB	31DEC2015	2015	NYSE
AB	31DEC2016	2016	NYSE
AB	31DEC2017	2017	NYSE
AB	31DEC2018	2018	NYSE
AB	31DEC2019	2019	NYSE
AB	31DEC2020	2020	NYSE
AB	31DEC2021	2021	NYSE
ABAT			
ABAX	31MAR1991	1990	NASDAQ
ABAX	31MAR1992	1991	NASDAQ
ABAX	31MAR1993	1992	NASDAQ
ABAX	31MAR1994	1993	NASDAQ
ABAX	31MAR1995	1994	NASDAQ
ABAX	31MAR1996	1995	NASDAQ
ABAX	31MAR1997	1996	NASDAQ
ABAX	31MAR1998	1997	NASDAQ
ABAX	31MAR1999	1998	NASDAQ
ABAX	31MAR2000	1999	NASDAQ
ABAX	31MAR2001	2000	NASDAQ
ABAX	31MAR2002	2001	NASDAQ
ABAX	31MAR2003	2002	NASDAQ
ABAX	31MAR2004	2003	NASDAQ
ABAX	31MAR2005	2004	NASDAQ
ABAX	31MAR2006	2005	NASDAQ
ABAX	31MAR2007	2006	NASDAQ
ABAX	31MAR2008	2007	NASDAQ
ABAX	31MAR2009	2008	NASDAQ
ABAX	31MAR2010	2009	NASDAQ
ABAX	31MAR2011	2010	NASDAQ
ABAX	31MAR2012	2011	NASDAQ
ABAX	31MAR2013	2012	NASDAQ
ABAX	31MAR2014	2013	NASDAQ
ABAX	31MAR2015	2014	NASDAQ
ABAX	31MAR2016	2015	NASDAQ
ABAX	31MAR2017	2016	NASDAQ
ABAX	31MAR2018	2017	NASDAQ
ABB	31DEC1997	1997	NYSE
ABB	31DEC1998	1998	NYSE
ABB	31DEC1999	1999	NYSE
ABB	31DEC2000	2000	NYSE
ABB	31DEC2001	2001	NYSE
ABB	31DEC2002	2002	NYSE
ABB	31DEC2003	2003	NYSE
ABB	31DEC2004	2004	NYSE
ABB	31DEC2005	2005	NYSE
ABB	31DEC2006	2006	NYSE
ABB	31DEC2007	2007	NYSE
ABB	31DEC2008	2008	NYSE
ABB	31DEC2009	2009	NYSE
ABB	31DEC2010	2010	NYSE
ABB	31DEC2011	2011	NYSE
ABB	31DEC2012	2012	NYSE
ABB	31DEC2013	2013	NYSE
ABB	31DEC2014	2014	NYSE
ABB	31DEC2015	2015	NYSE
ABB	31DEC2016	2016	NYSE
ABB	31DEC2017	2017	NYSE
ABB	31DEC2018	2018	NYSE
ABB	31DEC2019	2019	NYSE
ABB	31DEC2020	2020	NYSE
ABB	31DEC2021	2021	NYSE
ABBCD			
ABBK	31DEC1990	1990	NASDAQ
ABBK	31DEC1990	1990	NASDAQ
ABBK	31DEC1991	1991	NASDAQ
ABBK	31DEC1991	1991	NASDAQ
ABBK	31DEC1992	1992	NASDAQ
ABBK	31DEC1992	1992	NASDAQ
ABBK	31DEC1993	1993	NASDAQ
ABBK	31DEC1993	1993	NASDAQ
ABBK	31DEC1994	1994	NASDAQ
ABBK	31DEC1994	1994	NASDAQ
ABBK	31DEC1995	1995	NASDAQ
ABBK	31DEC1995	1995	NASDAQ
ABBK	31DEC1996	1996	NASDAQ
ABBK	31DEC1996	1996	NASDAQ
ABBK	31DEC1997	1997	NASDAQ
ABBK	31DEC1997	1997	NASDAQ
ABBK	31DEC1998	1998	NASDAQ
ABBK	31DEC1998	1998	NASDAQ
ABBK	31DEC1999	1999	NASDAQ
ABBK	31DEC1999	1999	NASDAQ
ABBK	31DEC2000	2000	NASDAQ
ABBK	31DEC2000	2000	NASDAQ
ABBK	31DEC2001	2001	NASDAQ
ABBK	31DEC2001	2001	NASDAQ
ABBK	31DEC2002	2002	NASDAQ
ABBK	31DEC2002	2002	NASDAQ
ABBK	31DEC2003	2003	NASDAQ
ABBK	31DEC2003	2003	NASDAQ
ABBV	31DEC2010	2010	NYSE
ABBV	31DEC2011	2011	NYSE
ABBV	31DEC2012	2012	NYSE
ABBV	31DEC2013	2013	NYSE
ABBV	31DEC2014	2014	NYSE
ABBV	31DEC2015	2015	NYSE
ABBV	31DEC2016	2016	NYSE
